time,S,I,R
560,89786.18898009225,7.822264971733026,10205.988754936201
561,89811.3830632941,7.9298248052824265,10180.687111900796
562,89836.46948265983,8.039644604345241,10155.490872736009
563,89861.44771670672,8.151773753102656,10130.400509540339
564,89886.31722740075,8.26626284016621,10105.416509759261
565,89911.07745976353,8.383163687665098,10080.539376548984
566,89935.72784147014,8.502529381021915,10055.769629149016
567,89960.26778243702,8.62441429942982,10031.10780326373
568,89984.69667439997,8.748874147044205,10006.554451453178
569,90009.01389048199,8.875965984901939,9982.110143533297
570,90033.21878475082,9.00574826358129,9957.775466985791
571,90057.31069176567,9.138280856615625,9933.551027377911
572,90081.28892611324,9.273625094673964,9909.437448792281
573,90105.15278193257,9.411843800521426,9885.435374267108
574,90128.90153242848,9.553001324772541,9861.54546624693
575,90152.53442937357,9.697163582450257,9837.768407044165
576,90176.05070259809,9.84439809036345,9814.104899311722
577,90199.44955946798,9.994774005315486,9790.555666526883
578,90222.73018435031,10.14836216315631,9767.121453486721
579,90245.89173806619,10.305235118690197,9743.803026815302
580,90268.93335733078,10.465467186451193,9720.601175482945
581,90291.85415418007,10.629134482357859,9697.51671133776
582,90314.65321538417,10.796314966258695,9674.55046964976
583,90337.32960184703,10.967088485379179,9651.703309667782
584,90359.882347992,11.14153681868097,9628.97611518952
585,90382.31046113317,11.319743722143384,9606.369795144888
586,90404.61292083218,11.501794974976644,9583.885284193051
587,90426.7886782401,11.687778426775925,9561.523543333326
588,90448.8366554243,11.877784045624498,9539.285560530296
589,90470.7557446797,12.071903967153633,9517.17235135337
590,90492.54480782457,12.270232544566094,9495.184959631077
591,90514.20267548018,12.472866399629293,9473.324458120402
592,90535.72814633414,12.67990447464316,9451.591949191421
